1/25/2022, 10:50:01 AM,35964.4,35964.4,35908.52,35922.24,31.63878
1/25/2022, 10:51:02 AM,35922.23,35953.93,35908.65,35952.12,25.06247
1/25/2022, 10:52:03 AM,35949.49,35964.4,35945,35961.94,13.20111
1/25/2022, 10:53:04 AM,35961.86,35979.31,35897.84,35926.1,28.14962
1/25/2022, 10:54:05 AM,35929,35930.94,35881.37,35898.68,17.63856
1/25/2022, 10:55:06 AM,35898.84,35934.19,35848.94,35856.63,45.07581
1/25/2022, 10:56:07 AM,35858.13,35873,35829.21,35869.72,36.11276
1/25/2022, 10:57:08 AM,35869.72,35896.52,35865.3,35871.59,13.44813
1/25/2022, 10:58:09 AM,35871.59,35890.91,35865.98,35878.27,7.46477
1/25/2022, 10:59:10 AM,35878.27,35893.78,35857.31,35857.31,11.45737
